,Candidate Name,officeName,committeeName,election_name,Filler Nid,election year,FPPC ID,treasurer,Is Terminated,Status,Filer Name,Filer Type,City,State,Zip
0,"Afolabi, Baba",City Council - City of Oakland - 3,Baba Afolabi for Oakland City Council 2024,11/5/2024 - General,210517029,2024,1467002,,False,ACTIVE,Baba Afolabi for Oakland City Council 2024,['Candidate or Officeholder'],San Jose,CA,95113
1,"Dunbar, Donnel C",City Council - City of Oakland - 3,"Dunbar, Donnel C",11/5/2024 - General,208539747,2024,,,False,ACTIVE,"Dunbar, Donnel C",['Person'],Oakland,CA,94607
2,"Fife, Carroll",City Council - City of Oakland - 3,Carroll Fife for City Council 2024,11/5/2024 - General,208660692,2024,1463441,"Fife, Carroll",False,ACTIVE,Carroll Fife for City Council 2024,['Candidate or Officeholder'],Lakeport,CA,95453
3,"Hirsch, Shan M",City Council - City of Oakland - 3,Committee to Elect Shan Hirsch for City Council,11/5/2024 - General,208555064,2024,1464290,,False,ACTIVE,Committee to Elect Shan Hirsch for City Council,['Candidate or Officeholder'],Oakland,CA,94607
4,"Ikharo, Tariq",City Council - City of Oakland - 3,"Ikharo, Tariq",11/5/2024 - General,210906813,2024,,,False,ACTIVE,"Ikharo, Tariq",['Person'],Oakland,CA,94612
5,"Jordan, Tyron",City Council - City of Oakland - 3,,11/5/2024 - General,,2024,,,,,,,,,
6,"Logan, Warren",City Council - City of Oakland - 3,Warren Logan for Oakland City Council District 3 2024,11/5/2024 - General,208504236,2024,1463590,"Reyes, Susan",False,ACTIVE,Warren Logan for Oakland City Council District 3 2024,['Candidate or Officeholder'],Alameda,CA,94501
7,"Taylor, Faye",City Council - City of Oakland - 3,"Taylor, Faye",11/5/2024 - General,209649414,2024,,,False,ACTIVE,"Taylor, Faye",['Person'],Oakland,CA,94608
8,"Brown, Rowena",City Council Member At-Large - City of Oakland,"Brown, Rowena",11/5/2024 - General,210906907,2024,,,False,ACTIVE,"Brown, Rowena",['Person'],Oakland,CA,94607
9,"Garrett, Lere",City Council Member At-Large - City of Oakland,"Garrett, Lere",11/5/2024 - General,211048114,2024,,,False,ACTIVE,"Garrett, Lere",['Person'],Oakland,CA,94606
10,"Love, Tonya",City Council Member At-Large - City of Oakland,Tonya Love for Oakland City Council 2024,11/5/2024 - General,209761028,2024,1466089,"Love, Tonya",False,ACTIVE,Tonya Love for Oakland City Council 2024,['Candidate or Officeholder'],Oakland,CA,94603
11,"Matoury, Kanitha",City Council Member At-Large - City of Oakland,Kanitha Matoury for Oakland City Council At- Large 2024,11/5/2024 - General,210547996,2024,1467524,"Sanford, Dan",False,ACTIVE,Kanitha Matoury for Oakland City Council At- Large 2024,['Candidate or Officeholder'],Oakland,CA,94612
12,"Robinson, Fabian",City Council Member At-Large - City of Oakland,"Robinson, Fabian",11/5/2024 - General,209634356,2024,,,False,ACTIVE,"Robinson, Fabian",['Person'],Oakland,CA,94621
13,"Thomas, Selika",City Council Member At-Large - City of Oakland,Selika Thomas for City Council 2024,11/5/2024 - General,208303480,2024,1461262,"Thomas, Selika",False,ACTIVE,Selika Thomas for City Council 2024,['Candidate or Officeholder'],Oakland,CA,94603
14,"Wang, Charlene",City Council Member At-Large - City of Oakland,"Wang, Charlene",11/5/2024 - General,210526254,2024,1467592,,False,ACTIVE,Wang for Oakland City Council 2024,['Candidate or Officeholder'],Oakland,CA,94606
15,"Davis, Benjamin ""Sam""",Director - Oakland Unified School District - 1,Davis for Oakland School Board 2024,11/5/2024 - General,208804932,2024,1464418,,False,ACTIVE,Davis for Oakland School Board 2024,['Candidate or Officeholder'],Oakland,CA,94608
16,"Frank, Edward C",City Council - City of Oakland - 1,"Frank, Edward C",11/5/2024 - General,208555135,2024,,,False,ACTIVE,"Frank, Edward C",['Person'],Oakland,CA,94608
17,"Herndon, Shantell",City Council - City of Oakland - 1,"Herndon, Shantell",11/5/2024 - General,208555241,2024,,,True,TERMINATED,"Herndon, Shantell",['Person'],Oakland,CA,94609
18,"Raphael, Len",City Council - City of Oakland - 1,Len Raphael for Oakland City Council 2024,11/5/2024 - General,208595769,2024,1462967,"Raphael, Len",False,ACTIVE,Len Raphael for Oakland City Council 2024,['Candidate or Officeholder'],Oakland,CA,94618
19,"Sherman, Debra B.",City Council - City of Oakland - 1,"Sherman, Debra B.",11/5/2024 - General,209211407,2024,,,False,ACTIVE,"Sherman, Debra B.",['Person'],Oakland,CA,94608
20,"Unger, Zac",City Council - City of Oakland - 1,Zac Unger for Oakland City Council 2024,11/5/2024 - General,208569781,2024,1462377,,False,ACTIVE,Zac Unger for Oakland City Council 2024,['Candidate or Officeholder'],Oakland,CA,94618
21,"Goolsby, Merika",City Council - City of Oakland - 7,"Goolsby, Merika",11/5/2024 - General,208539515,2024,,,False,ACTIVE,Goolsby City Council District 7 2024,['Candidate or Officeholder'],Oakland,CA,94621
22,"Reid, Treva",City Council - City of Oakland - 7,Re-Elect Treva Reid for Oakland City Council 2024,11/5/2024 - General,200879031,2024,1439424,"Owens, Stacy",False,ACTIVE,Re-Elect Treva Reid for Oakland City Council 2024,['Candidate or Officeholder'],Oakland,CA,94607
23,"Richardson, Ryan",City Attorney - City of Oakland,Ryan Richardson for Oakland City Attorney 2024,11/5/2024 - General,208563217,2024,1462429,"Eldridge, Jordan",False,ACTIVE,Ryan Richardson for Oakland City Attorney 2024,['Candidate or Officeholder'],San Jose,CA,95110
24,"Ritzie-Hernandez, Alexandra",Director - Oakland Unified School District - 5,"Ritzie-Hernandez, Alexandra",11/5/2024 - General,208074286,2024,1460829,"Ritzie-Hernandez, Alexandra",False,ACTIVE,Sasha Ritzie-Hernandez for Oakland School Board 2023,['Candidate or Officeholder'],Oakland,CA,94601
25,"Ritzie-Hernandez, Alexandra",Director - Oakland Unified School District - 5,"Ritzie-Hernandez, Alexandra",11/5/2024 - General,208539630,2024,,,False,ACTIVE,"Ritzie-Hernandez, Alexandra",['Person'],Oakland,CA,94601
26,"Williams, Van Cedric",Director - Oakland Unified School District - 3,"Williams, Van Cedric",11/5/2024 - General,208539602,2024,,,False,ACTIVE,"Williams, Van Cedric",['Person'],Oakland,CA,94611
27,"Houston, Michael",City Auditor - City of Oakland,Michael Houston for Oakland City Auditor 2024,3/5/2024 - Special,208728735,2024,1463801,,False,ACTIVE,Michael Houston for Oakland City Auditor 2024,['Candidate or Officeholder'],Lakeport,CA,95453
28,"Lerma, Jorge",Director - Oakland Unified School District - 5,Jorge Lerma for Oakland School Board 2023,11/7/2023 - Special,208542745,2023,1463520,"Dorado, Jose",False,ACTIVE,Jorge Lerma for Oakland School Board 2023,['Candidate or Officeholder'],Oakland,CA,94601
29,"Martinez, Christian M",Director - Oakland Unified School District - 5,"Martinez, Christian M",11/7/2023 - Special,208539270,2023,,,False,ACTIVE,"Martinez, Christian M",['Person'],Oakland,CA,94601
30,"Ritzie-Hernandez, Alexandra",Director - Oakland Unified School District - 5,,11/7/2023 - Special,,2023,,,,,,,,,
31,"Bachelor, Valarie",Director - Oakland Unified School District - 6,COALITION TO ELECT VALARIE BACHELOR FOR SCHOOL BOARD 2022,11/8/2022 - General,204185557,2022,1451532,"Anthony-Levine, Paul",False,ACTIVE,COALITION TO ELECT VALARIE BACHELOR FOR SCHOOL BOARD 2022,['Candidate or Officeholder'],Oakland,CA,94605
32,"Mungia, Kyra",Director - Oakland Unified School District - 6,Kyra Mungia for Oakland Unified School Board 2022,11/8/2022 - General,203581413,2022,1448165,"Johnson, Chelsea",False,ACTIVE,Kyra Mungia for Oakland Unified School Board 2022,['Candidate or Officeholder'],Lakeport,CA,95453
33,"Velasquez, Joel",Director - Oakland Unified School District - 6,VELASQUEZ FOR OAKLAND SCHOOL BOARD 2022; JOEL,11/8/2022 - General,204059833,2022,1450818,,False,ACTIVE,VELASQUEZ FOR OAKLAND SCHOOL BOARD 2022; JOEL,['Candidate or Officeholder'],Oakland,CA,94605
34,"Bas, Nikki",City Council - City of Oakland - 2,Re-elect Nikki F Bas for City Council 2022 Officeholder Account,11/8/2022 - General,185276534,2022,1423821,"Johnson, Chelsea",False,ACTIVE,Re-elect Nikki F Bas for City Council 2022 Officeholder Account,['Candidate or Officeholder'],Lakeport,CA,95453
35,"Lowe, Harold",City Council - City of Oakland - 2,LOWE FOR CITY COUNCIL 2022; HAROLD,11/8/2022 - General,204429424,2022,1453436,"Lowe, Andrea",False,ACTIVE,LOWE FOR CITY COUNCIL 2022; HAROLD,['Candidate or Officeholder'],Oakland,CA,94606
36,"Brouhard, Jennifer",Director - Oakland Unified School District - 2,"Committee to Elect Jennifer Brouhard for Oakland School Board District 2, 2022",11/8/2022 - General,204359757,2022,1452949,"Armendariz, Ismael",False,ACTIVE,"Committee to Elect Jennifer Brouhard for Oakland School Board District 2, 2022",['Candidate or Officeholder'],Oakland,CA,94606
37,"Kakishiba, David",Director - Oakland Unified School District - 2,,11/8/2022 - General,,2022,,,,,,,,,
38,"Orozco, Maximino",Director - Oakland Unified School District - 2,OROZCO MAX SCHOOL BOARD DIRECTOR DISTRICT 2 2022,11/8/2022 - General,204233009,2022,1454035,"Orozco, Maximo",False,ACTIVE,OROZCO MAX SCHOOL BOARD DIRECTOR DISTRICT 2 2022,['Candidate or Officeholder'],Oakland,CA,94606
39,"Carter, Monesha",Mayor - City of Oakland,"Carter, Monesha",11/8/2022 - General,204042241,2022,,,False,ACTIVE,"Carter, Monesha",['Person'],Oakland,CA,94607
40,"Dawson, Justin",Mayor - City of Oakland,"Dawson, Justin",11/8/2022 - General,204360712,2022,,,False,ACTIVE,"Dawson, Justin",['Person'],Oakland,CA,94608
41,"De La Fuente, Ignacio",Mayor - City of Oakland,"De La Fuente, Ignacio",11/8/2022 - General,201505180,2022,,,False,ACTIVE,"De La Fuente, Ignacio",['Person'],Oakland,CA,94605
42,"De La Fuente, Ignacio",Mayor - City of Oakland,De La Fuente for Mayor 2022,11/8/2022 - General,202813944,2022,1446236,"Reyes, Susan",True,TERMINATED,De La Fuente for Mayor 2022,['Candidate or Officeholder'],Alameda,CA,94501
43,"Hodge, Gregory",Mayor - City of Oakland,Hodge for Oakland Mayor 2022,11/8/2022 - General,201133776,2022,1442227,"Le, Phuong Lisa",True,TERMINATED,Hodge for Oakland Mayor 2022,['Candidate or Officeholder'],San Francisco,CA,94104
44,"Johnson, Derreck",Mayor - City of Oakland,Johnson Oakland Mayor 2022,11/8/2022 - General,201215572,2022,1441869,"Owens, Stacy",False,ACTIVE,Johnson Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94607
45,"Jordan, Tyron",Mayor - City of Oakland,Jordan for Mayor 2022,11/8/2022 - General,200831481,2022,1439246,"Jordan, Tyron",True,TERMINATED,Jordan for Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94610
46,"Liu, Peter",Mayor - City of Oakland,,11/8/2022 - General,,2022,,,,,,,,,
47,"Marks, John",Mayor - City of Oakland,Committee to Elect John Mimosa Marks for Oakland Mayor 2022,11/8/2022 - General,202005464,2022,1446906,"Marks, John",False,ACTIVE,Committee to Elect John Mimosa Marks for Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94621
48,"Morgan, Tequila",Mayor - City of Oakland,"Morgan, Tequila",11/8/2022 - General,204429871,2022,,,False,ACTIVE,"Morgan, Tequila",['Person'],Oakland,CA,94605
49,"Owens, Elbert",Mayor - City of Oakland,Elbert Owens for Mayor 2022,11/8/2022 - General,202099028,2022,1448962,"Owens, Elbert",False,ACTIVE,Elbert Owens for Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94603
50,"Reid, Treva",Mayor - City of Oakland,Treva Reid for Oakland Mayor 2022,11/8/2022 - General,201257249,2022,1442079,"Reid, Treva",True,TERMINATED,Treva Reid for Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94607
51,"Reimann, John",Mayor - City of Oakland,"Reimann, John",11/8/2022 - General,201618913,2022,,,False,ACTIVE,"Reimann, John",['Person'],Oakland,CA,94606
52,"Robinson, Julius Eric",Mayor - City of Oakland,"Robinson, Julius Eric",11/8/2022 - General,204429605,2022,,,False,ACTIVE,"Robinson, Julius Eric",['Person'],Oakland,CA,94605
53,"Schear, Stephen",Mayor - City of Oakland,"Schear, Stephen",11/8/2022 - General,201182164,2022,,,False,ACTIVE,"Schear, Stephen",['Person'],Oakland,CA,94609
54,"Scott, Seneca",Mayor - City of Oakland,Seneca Scott for Oakland Mayor 2022,11/8/2022 - General,201547224,2022,1444317,"Kemp, J Stevan",True,TERMINATED,Seneca Scott for Oakland Mayor 2022,['Candidate or Officeholder'],San Marcos,CA,92069
55,"Soo, Derrick",Mayor - City of Oakland,"Soo, Derrick",11/8/2022 - General,182704324,2022,,,False,ACTIVE,"Soo, Derrick",['Person'],Oakland,CA,94621
56,"Taylor, Loren",Mayor - City of Oakland,Loren Taylor for Oakland Mayor 2022,11/8/2022 - General,201163093,2022,1441375,,True,TERMINATED,Loren Taylor for Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94601
57,"Thao, Sheng",Mayor - City of Oakland,Sheng Thao for Oakland Mayor 2022,11/8/2022 - General,201332018,2022,1442594,"Caskey, Julie",False,ACTIVE,Sheng Thao for Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94602
58,"Thao, Sheng",Mayor - City of Oakland,Sheng Thao for Oakland Mayor 2022 Officeholder Account,11/8/2022 - General,208909119,2022,1464626,"Johnson, Chelsea",False,ACTIVE,Sheng Thao for Oakland Mayor 2022 Officeholder Account,['Candidate or Officeholder'],Lakeport,CA,95453
59,"Victory Villanueva, Allyssa",Mayor - City of Oakland,Committee to Elect Allyssa Victory for Oakland Mayor 2022,11/8/2022 - General,200910646,2022,1439739,"Amesi, Chinyerem",False,ACTIVE,Committee to Elect Allyssa Victory for Oakland Mayor 2022,['Candidate or Officeholder'],Oakland,CA,94619
60,"Gonzalez, Paulina",City Council - City of Oakland - 6,Support Paulina Gonzalez for Oakland City Council District 6,11/8/2022 - General,201243536,2022,1442804,"Reyes, Susan",True,TERMINATED,Support Paulina Gonzalez for Oakland City Council District 6,['Candidate or Officeholder'],Alameda,CA,94501
61,"Jeffries, Desmond",City Council - City of Oakland - 6,"Jeffries, Desmond",11/8/2022 - General,204429471,2022,,,False,ACTIVE,"Jeffries, Desmond",['Person'],Oakland,CA,94605
62,"Jenkins, Kevin",City Council - City of Oakland - 6,Kevin Jenkins for Oakland City Council 2022,11/8/2022 - General,201646014,2022,1443971,"Johnson, Chelsea",False,ACTIVE,Kevin Jenkins for Oakland City Council 2022,['Candidate or Officeholder'],Antelope,CA,95843
63,"Session, Kenneth",City Council - City of Oakland - 6,Kenny Session for District 6 2022,11/8/2022 - General,204429968,2022,1453834,"Session, Kandis",True,TERMINATED,Kenny Session for District 6 2022,['Candidate or Officeholder'],Oakland,CA,94610
64,"Sidebotham, Nancy",City Council - City of Oakland - 6,,11/8/2022 - General,,2022,,,,,,,,,
65,"Tapia-Juarez, Jesse",City Council - City of Oakland - 6,"Tapia-Juarez, Jesse",11/8/2022 - General,204056125,2022,,,False,ACTIVE,"Tapia-Juarez, Jesse",['Person'],Oakland,CA,94605
66,"Zazaboi, Yakpasua",City Council - City of Oakland - 6,ZAZABOI FOR OAKLAND CITY COUNCIL DISTRICT 6 2022; YAKPASUA,11/8/2022 - General,204054957,2022,1449857,"Zazaboi, Yakpasua",True,TERMINATED,ZAZABOI FOR OAKLAND CITY COUNCIL DISTRICT 6 2022; YAKPASUA,['Candidate or Officeholder'],Oakland,CA,94605
67,"Hudson - Manigo, Pecolia",Director - Oakland Unified School District - 4,Committee to Support Pecolia Manigo for Oakland School Director 2022,11/8/2022 - General,203955061,2022,1448946,,False,ACTIVE,Committee to Support Pecolia Manigo for Oakland School Director 2022,['Candidate or Officeholder'],Oakland,CA,94619
68,"Hutchinson, Michael",Director - Oakland Unified School District - 4,Mike Hutchinson for Oakland School Board 2022,11/8/2022 - General,204218262,2022,1449393,"Johnson, Chelsea",True,TERMINATED,Mike Hutchinson for Oakland School Board 2022,['Candidate or Officeholder'],Lakeport,CA,95453
69,"Resnick, Nick",Director - Oakland Unified School District - 4,Nick Resnick for Oakland School Board 2022 District 4,11/8/2022 - General,202521854,2022,1446325,"Guzman, Ben",False,ACTIVE,Nick Resnick for Oakland School Board 2022 District 4,['Candidate or Officeholder'],Oakland,CA,94602
70,"Joiner, Lanenna ""Nenna""",City Council - City of Oakland - 4,NENNA JOINER FOR OAKLAND CITY COUNCIL D4 2022,11/8/2022 - General,204185195,2022,pending,,True,TERMINATED,NENNA JOINER FOR OAKLAND CITY COUNCIL D4 2022,['Candidate or Officeholder'],Oakland,CA,94619
71,"Mart, Bradley",City Council - City of Oakland - 4,"Mart, Bradley",11/8/2022 - General,204429780,2022,,,False,ACTIVE,"Mart, Bradley",['Person'],Oakland,CA,94618
72,"Ramachandran, Janani",City Council - City of Oakland - 4,Janani Ramachandran for Oakland City Council District 4 2022,11/8/2022 - General,201330975,2022,1442792,"Reyes, Susan",False,ACTIVE,Janani Ramachandran for Oakland City Council District 4 2022,['Candidate or Officeholder'],Oakland,CA,94602
73,"Webb, Rania",City Council - City of Oakland - 4,"Webb, Renia",11/8/2022 - General,203464925,2022,,,False,ACTIVE,"Webb, Renia",['Person'],Oakland,CA,94611
74,"Ruby, Courtney",City Auditor - City of Oakland,"Ruby, Courtney",11/8/2022 - General,204707266,2022,,,False,ACTIVE,"Ruby, Courtney",['Person'],Oakland,CA,94605
